scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev1,kapusta2,16250,2747.00,76414.65,3969.00,1222.0,-29.28153914213909
od1500k,vehev2,kapusta2,6479,12692.40,121570.37,13588.00,895.6000000000004,44.4246676290897
od1500k,vehev1,allgreen,4771,116.83,51961.69,1338.00,1221.17,95.78092441921353
od1500k,vehev2,allgreen,31737,8659.96,109012.00,9554.00,894.0400000000009,60.76879029598409
od1500k,vehev1,allgreen,15239,1599.09,66005.78,2820.00,1220.91,33.17271728092207
od1500k,vehev1,allgreen,20276,357.51,61580.88,1578.00,1220.49,89.41194240257778
od1500k,vehev2,allgreen,2094,3602.33,83290.13,4496.00,893.6700000000001,72.98008645280237
od1500k,vehev2,kapusta2,4771,21649.36,169676.16,22544.00,894.6399999999994,-127.45511699838623
od1500k,vehev1,no-preemption,21907,2757.96,71912.70,3979.00,1221.04,
od1500k,vehev2,kapusta2,30616,48913.96,419062.79,49808.00,894.0400000000009,-196.1307543609306
od1500k,vehev1,no-preemption,12837,3106.94,65735.68,4329.00,1222.06,
od1500k,vehev3,tpn2,20276,890.95,46511.06,1622.00,731.05,60.17548800057215
od1500k,vehev1,kapusta2,17651,4762.92,71631.39,5984.00,1221.08,9.499913545599469
od1500k,vehev1,kapusta2,30616,2805.52,64670.82,4027.00,1221.48,-38.13422878272385
od1500k,vehev2,kapusta,20276,36676.11,269967.60,37570.00,893.8899999999994,-403.26111566216457
od1500k,vehev1,tpn2,22760,481.44,51109.42,1703.00,1221.56,84.12953757301652
od1500k,vehev2,no-preemption,15239,14108.14,130921.69,15002.00,893.8600000000006,
od1500k,vehev2,kapusta2,27422,9410.12,109426.23,10305.00,894.8799999999992,48.12940253661074
od1500k,vehev2,kapusta2,12811,17339.10,134154.87,18233.00,893.9000000000015,-6.691648822269802
od1500k,vehev3,kapusta2,17651,934.73,43880.72,1666.00,731.27,58.26334284400269
od1500k,vehev2,kapusta2,22570,4348.04,86086.70,5243.00,894.96,78.22416384413093
od1500k,vehev1,kapusta2,22570,1998.27,64443.06,3220.00,1221.73,-33.85515051645835
od1500k,vehev2,tpn2,16993,9633.87,97372.85,10530.00,896.1299999999992,17.78339891804428
od1500k,vehev2,no-preemption,16250,3768.18,70059.73,4663.00,894.8200000000002,
od1500k,vehev3,kapusta2,14368,1386.67,55922.01,2118.00,731.3299999999999,37.49712652744787
od1500k,vehev1,no-preemption,27548,1392.40,62074.25,2614.00,1221.6,
od1500k,vehev1,kapusta,30616,1225.76,49359.17,2448.00,1222.24,39.64776145858464
od1500k,vehev3,kapusta,11718,21016.39,142986.46,21748.00,731.6100000000006,-969.4819602055875
od1500k,vehev1,tpn,22760,237.31,55252.80,1457.00,1219.69,92.1771779691188
od1500k,vehev1,no-preemption,12811,2392.59,51484.41,3614.00,1221.4099999999999,
od1500k,vehev2,no-preemption,30366,7615.40,106889.81,8509.00,893.6000000000004,
od1500k,vehev3,kapusta2,30366,1066.15,46008.65,1798.00,731.8499999999999,63.05517726515095
od1500k,vehev1,allgreen,30366,324.43,58318.39,1545.00,1220.57,80.53318772576174
od1500k,vehev2,tpn,10105,2202.92,69292.09,3099.00,896.0799999999999,50.404232565993134
od1500k,vehev3,no-preemption,22570,2418.01,69528.55,3149.00,730.9899999999998,
od1500k,vehev1,tpn2,16993,1561.89,52661.20,2783.00,1221.11,41.26311989259644
od1500k,vehev1,allgreen,6325,1208.21,64687.40,2430.00,1221.79,65.08527767984603
od1500k,vehev1,tpn,30616,398.06,44032.88,1619.00,1220.94,80.40088428909755
od1500k,vehev2,tpn2,11718,54932.64,346575.84,55827.00,894.3600000000006,-61.23435062926219
od1500k,vehev3,allgreen,16250,326.53,47954.40,1058.00,731.47,66.57966920494556
od1500k,vehev2,no-preemption,22737,44955.33,307679.81,45850.00,894.6699999999983,
od1500k,vehev3,allgreen,27226,95.63,48383.03,827.00,731.37,90.218680959005
