scenario,ev,alg,metric,seed,value
od500k,vehev1,kapusta,rt,12811,16569.34
od500k,vehev1,kapusta,ttt,12811,1343.00
od500k,vehev1,tpn2,tl,227,417.45
od500k,vehev1,tpn2,rt,227,20737.41
od500k,vehev1,tpn2,ttt,227,1638.00
od500k,vehev3,no-preemption,tl,27226,976.51
od500k,vehev3,no-preemption,rt,27226,20606.14
od500k,vehev3,no-preemption,ttt,27226,1708.00
od500k,vehev1,tpn2,tl,27226,380.88
od500k,vehev1,tpn2,rt,27226,21782.78
od500k,vehev1,tpn2,ttt,27226,1601.00
od500k,vehev1,allgreen,tl,17651,104.73
od500k,vehev1,allgreen,rt,17651,16563.70
od500k,vehev1,allgreen,ttt,17651,1325.00
od500k,vehev1,no-preemption,tl,22737,1589.55
od500k,vehev1,no-preemption,rt,22737,21398.53
od500k,vehev1,no-preemption,ttt,22737,2811.00
od500k,vehev1,tpn,tl,2094,232.64
od500k,vehev1,tpn,rt,2094,13606.54
od500k,vehev1,tpn,ttt,2094,1455.00
od500k,vehev2,no-preemption,tl,32556,980.73
od500k,vehev2,no-preemption,rt,32556,21286.76
od500k,vehev2,no-preemption,ttt,32556,1877.00
od500k,vehev2,kapusta,tl,30366,555.04
od500k,vehev2,kapusta,rt,30366,18798.26
od500k,vehev2,kapusta,ttt,30366,1449.00
od500k,vehev3,allgreen,tl,32556,75.36
od500k,vehev3,allgreen,rt,32556,19241.62
od500k,vehev3,allgreen,ttt,32556,806.00
od500k,vehev2,no-preemption,tl,25029,804.63
od500k,vehev2,no-preemption,rt,25029,18811.57
od500k,vehev2,no-preemption,ttt,25029,1700.00
od500k,vehev3,tpn,tl,30616,150.20
od500k,vehev3,tpn,rt,30616,19541.09
od500k,vehev3,tpn,ttt,30616,882.00
od500k,vehev2,tpn2,tl,30366,386.75
od500k,vehev2,tpn2,rt,30366,17749.61
od500k,vehev2,tpn2,ttt,30366,1282.00
od500k,vehev2,tpn,tl,20276,81.04
od500k,vehev2,tpn,rt,20276,15457.55
od500k,vehev2,tpn,ttt,20276,976.00
od500k,vehev3,tpn2,tl,17651,127.45
od500k,vehev3,tpn2,rt,17651,15801.55
od500k,vehev3,tpn2,ttt,17651,859.00
od500k,vehev1,kapusta2,tl,21907,353.55
od500k,vehev1,kapusta2,rt,21907,20194.73
od500k,vehev1,kapusta2,ttt,21907,1575.00
od500k,vehev3,kapusta2,tl,16250,475.05
od500k,vehev3,kapusta2,rt,16250,20486.90
od500k,vehev3,kapusta2,ttt,16250,1207.00
od500k,vehev3,kapusta2,tl,12811,475.57
od500k,vehev3,kapusta2,rt,12811,15158.39
od500k,vehev3,kapusta2,ttt,12811,1207.00
od500k,vehev2,kapusta2,tl,21907,1232.05
od500k,vehev2,kapusta2,rt,21907,19186.38
od500k,vehev2,kapusta2,ttt,21907,2127.00
od500k,vehev3,no-preemption,tl,27548,974.78
od500k,vehev3,no-preemption,rt,27548,19025.89
od500k,vehev3,no-preemption,ttt,27548,1707.00
od500k,vehev3,allgreen,tl,6479,83.89
od500k,vehev3,allgreen,rt,6479,20305.45
od500k,vehev3,allgreen,ttt,6479,815.00
od500k,vehev3,allgreen,tl,25029,80.90
od500k,vehev3,allgreen,rt,25029,15973.63
od500k,vehev3,allgreen,ttt,25029,812.00
